,小区名称,小区平均房价
83,万科魅力之城,30968.85714285714
84,万美摩登中心,19143.0
85,万象城悦府,108405.0
86,万象城悦玺,65872.0
87,万通中心,23666.0
88,万通时尚公馆,45146.916666666664
89,万都晶座,15646.0
90,万锦山庄,21321.0
91,万陈花苑,20261.0
92,万隆公寓,13895.0
93,万马伊顿庄园,21738.428571428572
94,万马樱花公馆,16371.90909090909
95,万马路19号,13168.5
96,三华园,45430.333333333336
97,三塘人家,41050.0
98,三塘兰园,37387.5
99,三塘北村,35872.666666666664
100,三塘南村,34120.71428571428
101,三塘柳园,36701.0
102,三塘桂园,37834.142857142855
103,三塘桃园,36703.555555555555
104,三塘樱园,37663.6
105,三塘汶园,35705.666666666664
106,三塘沁园,38334.6
107,三塘竹园,37882.0
108,三塘高层公寓,27896.5
109,三墩景溪北苑,32542.166666666668
110,三墩景溪南苑,30756.8
111,三墩美都公寓,34047.0
112,三墩颐景园,45099.2
113,三宝新村,35785.666666666664
114,三槐里,71348.0
115,三水一生,19258.478260869564
116,三江新村,25003.666666666668
117,三江花园(萧山),25311.566666666666
118,三江花园道壹号,72075.0
119,三江鸣翠桃源,17742.478260869564
120,三江鸣翠蓝湾,23693.756756756757
121,三盛颐景御园,45771.333333333336
122,三联嘉苑,12152.2
123,三花国际大厦,30599.285714285714
124,三里亭一区,36487.11111111111
125,三里亭苑三区,36543.0
126,三里亭苑二区,36645.0
127,三里亭苑四区,35722.11111111111
128,三里家园一区,33897.0
129,三里家园三区,34509.375
130,三里家园二区,37734.2
131,三里新城兰苑,40244.57142857143
132,三里新城桂苑,37832.46153846154
133,三里新城橘苑,39166.666666666664
134,三里新城竹苑,37647.666666666664
135,三里新城荷苑,41149.0
136,上亿中央郡,28061.666666666668
137,上八界巷2-6号,43075.0
138,上宁新村,90935.0
139,上实海上海一期,37957.27777777778
140,上尚庭,71661.3
141,上岛公馆,67536.5
142,上林湖,34749.0
143,上水陆寺巷,45850.0
144,上沙锦湖家园,33576.666666666664
145,上焦营巷,55104.0
146,上郡,72714.6
147,上陈家园,41711.333333333336
148,下宁巷,111345.91666666667
149,下沙幸福雅苑,31724.5
150,下沙文汇苑,28129.333333333332
151,下沙铭都雅苑,34882.75
152,世嘉君座,35656.705882352944
153,世嘉铭座,27566.5
154,世纪嘉园,20897.333333333332
155,世纪嘉园晴彩巴厘,22704.576923076922
156,世纪坊,57095.833333333336
157,世纪广场小区,24226.0
158,世纪新城东区,66187.5
159,世纪新城西区,66766.0
160,世纪晶钻,18557.5
161,世纪都市雅苑,19077.25
162,世茂东壹号,49866.166666666664
163,世茂之西湖,39776.229166666664
164,世茂智慧之门,36367.107142857145
165,世茂江滨商业中心,15133.106666666667
166,世茂江滨花园峻景湾,27034.41891891892
167,世茂江滨花园瑞景湾,29174.8
168,世茂江滨花园碧景湾,29945.5
169,世茂钱塘天誉,72477.0
170,世贸丽晶城,110057.0
171,世贸丽晶城欧美中心,29987.5
172,东亚新干线,24086.333333333332
173,东信莱茵园,27141.5
174,东冠逸家,24187.5
175,东冠逸景花苑,27471.052631578947
176,东华苑,32269.0
177,东南钱江蓝湾,31562.727272727272
178,东原印未来,82620.0
179,东原旭辉璞阅,33013.0
180,东厦东港花苑,22536.90625
181,东吴商城,29208.5
182,东和云第,41594.59259259259
183,东和时代,26799.6
184,东哲云邸,28371.0
185,东园小区,42348.38888888889
186,东园巷,38653.0
187,东城丽景,25637.967741935485
188,东城印象公寓,54460.5
189,东安景苑,21140.666666666668
190,东小河公寓,16150.555555555555
191,东山花苑,18534.0
192,东新关,35772.6
193,东新园东荷星苑,39289.0
194,东新园孚信苑,37074.42857142857
195,东新园新湖苑,35932.0
196,东新园望景苑,36638.5
197,东新园茗盛苑,35520.25
198,东新园雪峰苑,36029.90909090909
199,东新府,48216.25
200,东方一号,56108.0
201,东方一品公寓,38722.75
202,东方丽都花苑,45069.0
203,东方俊园,19621.11111111111
204,东方君悦,41180.57142857143
205,东方商务会馆,28595.933333333334
206,东方御府,101051.5
207,东方文化园步行街,12089.25
208,东方新村,21884.0
209,东方时代中心,23826.5
210,东方水岚佳苑,28374.571428571428
211,东方润园,118815.0
212,东方福邸,79194.625
213,东方豪园,36324.0
214,东方铭楼,19230.571428571428
215,东日晴好,34140.0
216,东旸桥公寓,27824.333333333332
217,东晖龙悦湾,20900.238095238095
218,东河锦园,55679.333333333336
219,东海·闲湖城,40235.642857142855
220,东海未名园,31244.052631578947
221,东海柠檬郡,33616.41379310345
222,东海水景城,29090.809523809523
223,东海水漾人家,21778.090909090908
224,东海花园,23327.8
225,东海闲湖城印象加州,34171.666666666664
226,东润枫华,70876.6
227,东清大厦,39743.333333333336
228,东清巷,43095.333333333336
229,东港嘉苑二区,35028.0
230,东湖中路175号,20273.6
231,东湖中路92号,20187.4
232,东湖公寓,17364.0
233,东田怡丰城,25525.39285714286
234,东田擎天半岛,24564.64
235,东田玉城,26967.0
236,东石塘,15202.0
237,东茂苑,39429.142857142855
238,东藩小区,15661.666666666666
239,东裕华庭,14459.862068965518
240,东都公寓,31177.88888888889
241,东都府,25654.0
242,东门公寓,27073.666666666668
243,丝织弄59号,22964.5
244,严官巷,37244.0
245,严村里,25498.0
246,严衙弄,38735.0
247,中交悦西溪,76355.33333333333
248,中企艮山府,68106.83333333333
249,中光花园,17541.5
250,中兴.金盛苑,19341.5
251,中兴九洲芳园,36683.75
252,中兴公寓,44453.5
253,中兴和园,34197.26829268293
254,中兴御田清庭,34090.5
255,中兴文都苑,49606.333333333336
256,中兴花园,50908.555555555555
257,中兴花园百合苑,50615.0
258,中冶锦绣华府,75451.0
259,中北花园,52030.0
260,中北西子花园,39122.5
261,中南公寓,42517.5
262,中南樾府,70034.0
263,中南白马湖壹号,45032.88888888889
264,中和北宸府,25727.416666666668
265,中园花苑,27864.0
266,中国铁建保利像素,29366.57894736842
267,中国铁建国际城,67198.57142857143
268,中国铁建江南国际城,52556.90909090909
269,中国铁建西湖国际城,54933.833333333336
270,中国铁建青秀城,51451.625
271,中城汇MIDTOWN,61175.333333333336
272,中大凤栖花园,53225.11111111111
273,中大文锦苑,112838.2
274,中天·富春诚品北区,24711.81818181818
275,中天万科启宸,23441.583333333332
276,中天之江诚品,46892.75
277,中天九溪诚品,64832.11111111111
278,中天官河锦庭,58878.35
279,中天富春诚品,23764.81818181818
280,中天珺府,24167.06
281,中天西城纪,24638.666666666668
282,中奥江锦国际,19848.125
283,中尚橄榄树花园（北区）,25616.785714285714
284,中尚橄榄树花园（南区）,25747.454545454544
285,中山中路,42716.0
286,中山中路312-404号,70498.0
287,中山北园,45663.916666666664
288,中山北路123号,51619.0
289,中山北路小区,42357.5
290,中山御庭,44659.0
291,中山花园,35070.0
292,中山苑,36124.0
293,中山路12-3号,22281.0
294,中庆润泽院,24280.821428571428
295,中惠家园,22529.0
296,中意名仕苑,31762.5
297,中新御景湾,27806.555555555555
298,中旅城仕公馆,40030.26666666667
299,中旅紫金名门,54220.17647058824
300,中栋国际,32421.615384615383
301,中梁百悦城,25934.21052631579
302,中水花苑,18513.0
303,中江花园,43720.42857142857
304,中沙东岸嘉园一区,30527.0
305,中沙东岸嘉园三区,34104.666666666664
306,中沙东岸嘉园二区,36473.666666666664
307,中河中路,89879.0
308,中海定山府,35701.5
309,中海御道,103245.18181818182
310,中海紫藤苑,49975.083333333336
311,中海西溪华府,77025.95652173914
312,中海金溪园,54256.5
313,中海钱塘山水,60808.68
314,中港罗兰小镇,32907.0
315,中粮云涛名苑,32502.214285714286
316,中粮方圆府,56623.0
317,中粮方圆金街,19185.0
318,中粮梦栖祥云,38234.2
319,中融城市花园,50833.25
320,中誉万豪广场,19081.8
321,中誉现代城,28154.0
322,中豪七格,20472.45945945946
323,中豪四季公馆,35228.10526315789
324,中豪国际,23201.0
325,中豪晴园,94778.66666666667
326,中豪湘和国际,32386.0
327,中赢云际,52489.692307692305
328,中赢康康谷,36209.46341463415
329,中赢时代风景,17838.7
330,中都广场,19215.0
331,中铁九逸,23978.558139534885
332,中铁诺德雅逸府,27510.666666666668
333,中骏.骏澜湾,22054.0
334,中骏柏景湾,20331.533333333333
335,丰乐公寓,51624.0
336,丰家兜12号,38984.5
337,丰梅路10-21号,21388.666666666668
338,丰泽苑(临安),13456.833333333334
339,丰泽苑(富阳),21856.333333333332
340,丰禾巷,38785.0
341,丰隆百翘香江,28732.190476190477
342,临东家园,19208.428571428572
343,临东小区,13716.25
344,临云山庄,27728.0
345,临和家苑北区,19717.5
346,临城花苑,18177.166666666668
347,临天七弄,12828.0
348,临天九弄,12941.333333333334
349,临天八弄31号,12486.0
350,临天十弄,14000.0
351,临天路2065号,14477.0
352,临天路一弄,13651.0
353,临安人家,13002.363636363636
354,临安商城,11080.0
355,临安大厦,17056.4
356,临平山庄,29272.5
357,临平桂花城北区,25807.38888888889
358,临平桂花城南区,30406.166666666668
359,临水路,14666.333333333334
360,临水路42-48号,15091.0
361,临水路62-68号,15427.0
362,临水路78-86号,16161.5
363,临江佳苑,13951.142857142857
364,临江时代花苑,14978.0
365,临江花园,37333.14864864865
366,临江风帆公寓,52716.0
367,临浦临水苑,16963.75
368,临浦景泰公寓,17877.833333333332
369,临溪佳苑,20245.5
370,临雅苑,21022.5
371,丹枫新村,39200.0
372,丹桂公寓,50607.0
373,丽华公寓,19596.0
374,丽景西苑,79184.0
375,丽晶国际,36406.75
376,丽晶湾,54457.0
377,丽江公寓,43933.75
378,丽都公寓,26998.0
379,丽阳苑,77243.75
380,久睦苑,28071.076923076922
381,义井巷,42196.0
382,义新街,16202.0
383,义桥商贸中心,11498.0
384,义桥金属材料市场,14761.0
385,义蓬中路,18562.0
386,义蓬购物中心,12634.333333333334
387,之江之芯,26541.0
388,之江九里,59142.52380952381
389,之江公寓,40089.22222222222
390,之江富城,18171.0
391,之江绿洲嘉园,33852.0
392,之江花园,44339.333333333336
393,之江铭楼,10878.642857142857
394,乌龙巷,38665.0
395,乐山嘉苑,25976.0
396,乐汇城,17293.655172413793
397,乐淘城,58629.07142857143
398,乐苑小区,17869.2
399,乔司商贸苑,17842.88888888889
400,九堡东方公寓,26855.0
401,九堡明珠公寓,29967.0
402,九州星座,14849.5
403,九悦江南,19347.333333333332
404,九曲营小区,19769.363636363636
405,九月庭院,31137.55
406,九月森林,45787.5
407,九树公寓,81987.0
408,九浪山花园,14359.888888888889
409,九溪民航宿舍,46694.0
410,九溪玫瑰园,57638.666666666664
411,九莲新村,49340.666666666664
412,九衡公寓,29223.346153846152
413,九豪庄园,14399.333333333334
414,九龍一號,28125.5625
415,九龙仓世纪华府,25247.6
416,九龙仓君廷,21189.70588235294
417,九龙仓君玺,97794.0
418,九龙仓珑玺,71779.85714285714
419,九龙仓碧玺,96146.46153846153
420,九龙仓雍景山,27873.446428571428
421,九龙公寓,12723.5
422,九龙山庄,30761.6
423,书林苑,23190.272727272728
424,乾成园,34881.42857142857
425,二凉亭,59694.333333333336
426,二圣庙前,49262.0
427,二棉路,28952.0
428,云亭公寓,25252.0
429,云厦连园,47893.875
430,云栖蝶谷,71999.5
431,云水山居,16592.188679245282
432,云水湾,19608.1
433,云河大厦,35923.0
434,云河福邸,23116.375
435,云溪印象,15644.0
436,云溪新语,55294.666666666664
437,云溪香山,33408.31034482759
438,云裳公寓,48046.333333333336
439,云雀苑,39915.5
440,云龙公寓,44113.25
441,云龙十一景,60831.6
442,五一新村,37586.0
443,五圣堂,36708.0
444,五月花城,21418.727272727272
445,五月香山,24500.8
446,五洋东湖春天,21086.25
447,五洋嘉景苑,53704.0
448,五洋运河人家,39768.833333333336
449,五洲国际广场,23494.5
450,五福里,75995.0
451,五里塘苑,43586.0
452,井泉苑,24995.85714285714
453,亚洲城花园,38863.38888888889
454,交通宿舍,24279.0
455,京惠花园,38500.375
456,京明凤凰家园,14917.5
457,京港国际,34567.0
458,京都苑,38705.666666666664
459,亲亲家园一期,33334.625
460,亲亲家园三期,33974.148148148146
461,亲亲家园二期,32952.794117647056
462,亲亲家园四期,40018.53846153846
463,亲仁里,39991.13333333333
464,亲和家园,11527.0
465,人和家园,26988.5
466,人民路1051号,13734.0
467,人民路10号,36314.666666666664
468,人民路19号(西兴路),39144.0
469,人民路203号,29379.0
470,人民路23号,32107.0
471,人民路66号,35348.0
472,亿丰蔚蓝郡,34078.05882352941
473,仁合银庭,21054.333333333332
474,仁和金鼎公寓,22306.333333333332
475,仁寿山,73471.0
476,仁惠家园,20411.0
477,仁苑,48104.63636363636
478,今日嘉园,99098.0
479,仓乐雅苑,33628.0
480,仓基新村,48589.5
481,仓溢绿苑,41678.666666666664
482,仙林苑,65704.66666666667
483,伊世纪城市花园,20071.533333333333
484,伊世纪城市花园一区,18258.333333333332
485,伊甸山庄,23998.125
486,伊萨卡国际城排屋,45581.0
487,伊萨卡国际城浩泽园,28864.645833333332
488,伊萨卡国际城绮风园,27248.363636363636
489,伊萨卡国际城鹭江园,28958.125
490,众孚水榭花都,18055.625
491,众安嘉润公馆（杭州国际办公中心）,37340.53846153846
492,众安国泰花园,27613.1875
493,众安学君里,32727.125
494,众安山水苑一期,25075.0
495,众安景海湾,29634.074074074073
496,众安朝阳8号,35351.25
497,众安理想湾,22566.342105263157
498,众安白马山庄,30575.428571428572
499,众安白马御府,41992.4
500,众安花园,24416.0
501,会馆弄18号,13990.0
502,佑圣观路38号,49649.0
503,佑圣观路44号,39487.0
504,体育场路178-418号,35197.0
505,体育场路2-70号,38431.166666666664
506,体育场路470号,105864.0
507,体育场路71-176号,43311.71428571428
508,余之城,30635.666666666668
509,余官巷,57945.0
510,佳丰北苑,54155.0
511,佳兆业君汇上品,29496.285714285714
512,佳兆业玖珑山,40668.25
513,佳兆业西溪璞园,41456.153846153844
514,佳合苑,19571.75
515,佳境天城人合苑,40299.0
516,佳境天城佳合苑,41287.42857142857
517,佳境天城境合苑,50927.833333333336
518,佳境天城天合苑,52205.0
519,佳境天城成合苑,37512.4
520,佳居园,25082.0
521,佳源优优锦城,17851.571428571428
522,佳源名城,26309.875
523,佳源未来府,35982.6
524,佳源西溪印象,118582.0
525,佳维新苑,21870.0
526,佳肴弄,20514.333333333332
527,依锦苑,28087.0
528,保亿丽景山,46990.205882352944
529,保亿风景晨园,26420.166666666668
530,保亿风景蝶院观园,39531.03846153846
531,保亿麓语湖苑,24294.74193548387
532,保俶北路101号,83270.0
533,保俶北路82号,82290.33333333333
534,保俶北路90号,67950.0
535,保俶北路99号,82982.0
536,保俶路,78081.25
537,保俶路91号,75298.0
538,保健路,24487.0
539,保健路138-170号,19797.333333333332
540,保利东湾,29720.328358208953
541,保利中央公馆,77011.78571428571
542,保利城市果岭,31279.37837837838
543,保利梧桐语,44401.57142857143
544,保利江语海,47660.836734693876
545,保利湾天地,14676.438356164384
546,保利湾天地二期,15241.921875
547,保利滨江上品,124835.0
548,保利玫瑰湾,30950.25581395349
549,保利罗兰香谷,30890.39285714286
550,保利融信大国璟,55163.75
551,保利霞飞郡,43089.09090909091
552,保利香槟国际,75305.16666666667
553,保安桥河下,39109.75
554,信义坊,42737.6
555,信余里,43458.5
556,信步闲庭,60644.0
557,信融御金台,44294.0
558,信达柳郡,30914.5
559,信鸿花园北区,40202.88888888889
560,信鸿花园南区,35446.2
561,候潮公寓,41643.7
562,倾城之恋,62391.40909090909
563,假山新村,50826.857142857145
564,假山路5弄,42438.0
565,健康公寓,56793.0
566,元成东盛家园,27677.555555555555
567,元成时代中心,18675.0
568,元都新景公寓,31220.3
569,元都新苑,31592.0
570,光复路146-186号,73407.66666666667
571,光明尚海湾,32105.076923076922
572,光明逸品春江,21003.652173913044
573,光辉岁月,48958.25
574,克拉公馆,37005.0
575,八丈井新村,56577.92857142857
576,八卦新村,37170.0
577,公元名家,23687.0
578,公元沐桥,74024.0
579,公园城,18679.363636363636
580,公园家南区,18596.21052631579
581,公望金钰府,30393.0
582,六和源,46537.666666666664
583,六圣堂,40197.0
584,六塘公寓,35432.857142857145
585,六眼井,38214.0
586,兰庭国际,80741.5
587,兰惠家园,21404.375
588,兰韵天城,48059.6
589,兴和公寓,42976.666666666664
590,兴安公寓,20649.0
591,兴惠家园,38018.0
592,兴泰花苑,14949.4
593,兴盛花园,29770.0
594,兴耀星悦湾,23022.666666666668
595,兴耀鑫都汇,31476.76
596,兴财名都苑,70979.75
597,农业厅第三住宅区,38569.0
598,农机总站宿舍,18427.0
599,农港苑,30435.666666666668
600,冠宇隽园,33377.86666666667
601,冠山小区,34981.5
602,冠苑小区,88007.07142857143
603,凤亭院,35956.666666666664
604,凤仪家园,21323.4
605,凤凰北苑,66232.88888888889
606,凤凰南苑,60232.181818181816
607,凤凰城广场,31958.8
608,凤城花苑,23562.0
609,凤山新村,54055.0
610,凤山花苑,54181.6
611,凤浦小区,18042.5
612,凤溪花苑,17340.0
613,凤溪路211号,17764.333333333332
614,凤起商务大厦,23559.0
615,凤起桥河下,56408.75
616,凤起苑,47391.5
617,凤起都市花园,52020.2
618,凤鸣苑,51908.0
619,凯丽晶座,23919.47619047619
620,凯喜雅锦河湾,39707.0
621,凯德湖墅,74567.5
622,凯德视界,48616.0
623,凯悦花园,31604.0
624,凯文和平雅苑,23449.333333333332
625,凯文杭庄,22537.7
626,凯旋新村,54281.0
627,凯旋路104号,48792.0
628,凯旋路112号,47152.666666666664
629,凯旋路166号,35231.0
630,凯旋路168号,35248.0
631,凯旋路184号,37389.0
632,凯林巷,44978.0
633,凯瑞金座,26811.75
634,刀茅巷173-178号,40082.0
635,刀茅巷20-79号,35086.0
636,创世邸,89689.4
637,创客空间大厦,26538.75
638,利二花苑,54093.0
639,利兹城市公寓,52939.0
640,前新福苑,15201.0
641,前湾国际社区,41227.0
642,力达易居时代,18980.85714285714
643,劳动路,60919.5
644,劳工弄,66280.0
645,勤丰小区,64907.4
646,勤俭弄,12076.0
647,勾庄佳苑,32585.666666666668
648,化纤新村,59757.666666666664
649,北国之春人家,38598.0
650,北城枫景园,28525.714285714286
651,北城芳满庭,34812.75
652,北城铭苑,32810.8
653,北大街,17946.5
654,北大资源未名府,56947.857142857145
655,北干一苑,30895.823529411766
656,北干二苑,25775.0
657,北干二苑新安寓,32504.846153846152
658,北干山南路37号,26579.0
659,北庙北弄,20674.8
660,北景园月桂苑,29652.25
661,北景园水镜苑,28604.0
662,北景园竹邻苑,33560.666666666664
663,北景园紫荆苑,27459.4
664,北景园芳洲苑,30535.636363636364
665,北景园荷风苑,28493.333333333332
666,北景园莲趣苑,32482.0
667,北景园菊香苑,29492.272727272728
668,北润家园,16376.8
669,北湖绿洲花园,22330.8
670,北秀向阳苑南区,19979.0
671,北秀向阳苑西区,20434.0
672,北秀蓝湾花苑,22614.464285714286
673,北苑丽城,17984.666666666668
674,北苑新村,17132.0
675,北落马营,38594.0
676,北辰奥园,29947.2
677,北银公寓,27258.416666666668
678,十五奎巷,42158.0
679,十五家园,43160.833333333336
680,十亩田家园,43033.444444444445
681,十里风荷,64337.0
682,半山路,30545.0
683,半岛国际,68422.27777777778
684,半岛花园,28947.75
685,半道红小区,40948.8
686,华东园,44971.0
687,华丰新村,37730.0
688,华元云水苑,24097.260869565216
689,华元十六街区,14542.038461538461
690,华元欢乐城,20543.5
691,华元玉榕庄,45784.4
692,华元美林公馆,42975.75
693,华元花涧堂,35142.75
694,华元蒙卡岸,38970.142857142855
695,华元西溪欢乐城,19028.625
696,华克公寓,23687.5
697,华兴公寓,17451.0
698,华兴名盛苑,15379.0
699,华励花苑,20367.0
700,华城格之林花园,23001.5
701,华夏之心,58323.0
702,华夏四季,62657.0
703,华天苑,27368.25
704,华宇家园,19764.5
705,华家弄,14182.0
706,华家池,41706.71428571428
707,华庭云顶,17811.25842696629
708,华惠家园,14967.333333333334
709,华星公寓,37773.0
710,华星路97号院,33405.0
711,华枫名苑,24645.25
712,华江宿舍,36739.0
713,华海园,68184.6
714,华润翠庭,33086.0
715,华清山庄,50248.5
716,华特山庄,32314.0
717,华瑞中心,21521.333333333332
718,华瑞晴庐,39678.69565217391
719,华瑞湘湖林语,27016.166666666668
720,华瑞湘湖美地,29770.16
721,华瑞锦鸿苑,14678.75
722,华盛星洲翠谷,24989.0
723,华盛达堂巢,23335.0
724,华盛达阅城,51671.583333333336
725,华立和郡,23791.4
726,华立江南水乡,65269.75
727,华立金顶苑,58261.4
728,华策中心,34507.833333333336
729,华艺星座,24739.75
730,华苑公寓,83198.57142857143
731,华藏寺巷,41435.5
732,华远大厦,39583.4
733,华门世家,43651.2
734,华门自由21世纪,56857.57142857143
735,华顺公寓,29522.0
736,华鸿汇盛德堡,29214.0
737,华鼎君临天峯,33718.666666666664
738,华鼎豪园,25639.666666666668
739,华龙家园,54070.0
740,协安紫郡,55828.21052631579
741,协安蓝郡,42625.181818181816
742,卓越明熙府,28783.5
743,卓越蔚蓝领秀一期,31218.555555555555
744,卓越蔚蓝领秀二期,28021.333333333332
745,南光坊,48168.0
746,南北乐章,30013.0
747,南北盛德国际,17544.0
748,南北西岸,74789.57142857143
749,南城景园,20695.833333333332
750,南大街,20192.0
751,南安,27580.75
752,南安新苑,21712.8
753,南山路260号,74387.0
754,南岸晶都花园,38765.12962962963
755,南岸花城,27947.5
756,南岸风景,18286.0
757,南峰公寓,28865.0
758,南市花园,33194.5
759,南方公寓,11933.0
760,南星公寓,39598.666666666664
761,南欣公寓,23960.0
762,南江公寓,25355.0
763,南江商业中心,17776.8
764,南沙新苑,15557.0
765,南洋名都,15404.0
766,南润名座,15901.333333333334
767,南渠社区南渠街,26237.0
768,南湖丽景,33100.25
769,南湖明筑花苑,28320.0
770,南班巷,40593.5
771,南秀苑,12918.0
772,南肖埠北景东苑,40723.0
773,南肖埠北景西苑,39821.25
774,南肖埠小区庆春苑,46675.94736842105
775,南肖埠御景苑,64629.25
776,南肖埠文景苑,54895.666666666664
777,南肖埠景和苑,48524.5
778,南肖埠社区,41264.692307692305
779,南苑一区,21269.0
780,南苑二区(临安),14465.5
781,南苑二区(余杭),21453.666666666668
782,南苑小区,15767.458333333334
783,南都德迦东区,55213.875
784,南都德迦西区,46516.57142857143
785,南都江滨花园,50439.57142857143
786,南都花园,60599.28571428572
787,南都花园别墅,77378.16666666667
788,南都银座公寓,35652.0
789,博印名邸,31348.25
790,厚诚公寓,27840.2
791,厚诚桥村,31836.0
792,厚诚路110号,34114.0
793,原筑壹号,30527.37837837838
794,原舍花苑,21414.2
795,友谊新村,84372.5
796,双牛大厦,21475.0
797,双眼井巷,46881.0
798,双菱新村,58499.230769230766
799,双菱路179号,40803.0
800,发展公寓,24051.875
801,古塘路30号,38821.0
802,古新路,39332.0
803,古荡新村东区,42000.1875
804,古荡新村西区,41045.93103448276
805,古荡桥,54292.0
806,史家埭路小区,20868.5
807,叶家弄,43895.0
808,叶青苑,40151.0
809,叶青随苑,46322.0
810,合丰花苑,22725.0
811,合丰花苑北区,20159.0
812,合景叠彩园,59917.35294117647
813,合景天峻,53603.8
814,合景天誉,45550.5
815,合景天銮,75442.0
816,合景映月台,64017.05
817,合景瑜翠园,58125.666666666664
818,吉兴公寓,47682.0
819,吉如家园,55854.8
820,吉庆院,37348.61538461538
821,同人山庄,27325.0
822,同人春江时代花园,60401.75
823,同人精华,22636.666666666668
824,同和公寓,26911.153846153848
825,同和里,119959.0
826,同城印象花苑东区,32386.916666666668
827,同城印象花苑北区,41479.642857142855
828,同城印象花苑西区,34294.4
829,同德公寓,12588.333333333334
830,同方国际,19793.0
831,名仕家园,61902.857142857145
832,名城公馆,82772.63636363637
833,名城大厦,13818.0
834,名城湖左岸,46876.818181818184
835,名城燕园,57849.4
836,名扬阁,29047.0
837,名都雅苑,16294.5
838,名门天第,21841.5
839,后周嘉苑,18348.0
840,后市街,48438.0
841,后横弄,15933.8
842,后珠家苑,25245.0
843,后珠美邻嘉苑,27169.30769230769
844,后珠美都雅苑,25201.6
845,后珠辰秀嘉园,26226.2
846,后珠辰秀嘉园南区,26249.333333333332
847,后营弄,56973.0
848,向江来时代中心,31960.0
849,君临天下,29018.090909090908
850,君兰华庭,27405.333333333332
851,君奥名邸,30841.5
852,君尚金座,38663.555555555555
853,君悦丽景,31222.5
854,吴牙新村,46378.0
855,吴越人家北区,13619.0
856,吴越人家南区,12978.9375
857,吴越山庄,15202.307692307691
858,和合公寓,13202.333333333334
859,和合财富中心,22474.222222222223
860,和家园臻园,56638.0
861,和平小区,43514.0
862,和新北苑,50648.0
863,和新南苑,44474.0
864,和昌云栖玖著,30748.08
865,和昌云潮,22359.0
866,和昌府,38174.333333333336
867,和睦公寓,57877.0
868,和睦新村,39558.72727272727
869,和睦路121号,40761.0
870,和睦路143号,39909.0
871,和睦院,32166.0
872,和苑小区,67995.5
873,和谐嘉园东苑,53490.0
874,和谐嘉园北苑,48403.0
875,和谐嘉园南苑,61375.8
876,和谐弄,26707.0
877,和达东东城,15179.666666666666
878,和达城,27668.555555555555
879,和达御观邸,47639.25
880,和达自由港,20101.5
881,响水坝,37901.0
882,哑巴弄,35640.857142857145
883,商业城,12070.333333333334
884,商城东苑,22201.090909090908
885,商城花园,31112.0
